,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,tags,product_color,product_variation_inventory,shipping_option_name,shipping_option_price,countries_shipped_to,inventory_total,has_urgency_banner,origin_country,merchant_title,merchant_rating_count,merchant_rating,feedback,notes
12,1.91,6,1000.0,1,3.45,141.0,49.0,29.0,24.0,14.0,25.0,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal",orange,1.0,Envio Padrão,1.0,38,50,0.0,CN,easymarket,557.0,4.12387791741472,0,557
13,5.79,42,1000.0,0,3.32,121.0,36.0,24.0,23.0,19.0,19.0,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless",red,50.0,Livraison standard,2.0,43,50,0.0,CN,Molesfashion,5083.0,3.94747196537478,83,5083
14,2.0,2,20000.0,1,3.65,2457.0,984.0,481.0,459.0,206.0,327.0,"Summer,Fashion,Mini,Dress,Loose,Polkas,V-neck,Tops,Women's Fashion,black,polka dot,sleeveless,backless,Casual,Women Fashion",yellow,1.0,Livraison standard,1.0,36,50,0.0,CN,Pentiumhorse,55499.0,4.13888538532226,0,55499
15,11.0,81,1000.0,0,3.92,426.0,204.0,94.0,62.0,21.0,45.0,"Summer,Plus Size,Shirt,Sleeve,cute,Long Sleeve,flare,Tops,topsamptshirt,Women's Fashion,Clothes for women,cuteshirt,Fashion,long sleeve t shirt,solidcolorshirt,Summer Fashion,loose t-shirt,T Shirts",Black,50.0,Livraison standard,3.0,41,50,0.0,CN,Petha's boutique,39381.0,4.06632640105635,86,39381
16,11.0,10,10000.0,0,3.72,2058.0,840.0,435.0,386.0,158.0,239.0,"Summer,fashion women,Fashion,Mini,Dresses,Tops,Polkas,V-neck,Mini dress,Women's Fashion,Party Dress,backless,party,Sexy Dress,Dress,sleeveless,polka dot,Casual,casual dress",red,50.0,Livraison standard,2.0,34,50,0.0,CN,2312hangm,6302.0,3.95842589654078,0,6302
17,5.0,25,100000.0,1,3.83,17980.0,8290.0,3483.0,2951.0,1410.0,1846.0,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion",white,50.0,Livraison standard,1.0,41,50,1.0,CN,leiston,139223.0,3.9335813766403502,84,139223
18,9.0,9,20000.0,0,3.82,5479.0,2456.0,1162.0,853.0,431.0,577.0,"Summer,Fashion,tunic,Women Vest,Tank,Tops,topsamptshirt,tank top,doublelayer,Women's Fashion,backless,sexy,Ladies,sleeveless,Casual,Women",blue,50.0,Livraison standard,3.0,43,50,0.0,CN,centper3,22089.0,4.08162433790575,87,22089
19,7.0,7,1000.0,0,3.67,214.0,87.0,36.0,49.0,17.0,25.0,"blouse,Summer,Vest,Plus Size,Tank,zippers,Tops,Slim Fit,tank top,Women's Fashion,V-neck,topsampblouse,sleeveless,women top,slim,Casual",red,7.0,Livraison standard,2.0,41,50,1.0,CN,chenqinq,3592.0,4.0623608017817405,86,3592
20,11.0,10,5000.0,0,3.84,1183.0,506.0,274.0,216.0,81.0,106.0,"Fashion,Floral print,Tops,sexy bikini,Swimwear,Swimsuit,padded,Bikini,sexy,Women,Women's Fashion,Swimming",green,50.0,Livraison standard,3.0,69,50,0.0,CN,uranus,23609.0,4.25659706044305,91,23609
21,5.0,6,20000.0,0,3.6,3552.0,1437.0,632.0,610.0,358.0,515.0,"Summer,Vest,Fashion,Tank,Lace,Tops,slim,Women's Fashion,tank top,T Shirts,Lace Up,topsamptee,sexy,sleeveless,Women,Women Fashion,Cotton",black,11.0,Livraison standard,2.0,41,50,0.0,CN,Oucho co. ltd.,12913.0,3.9813366374971,0,12913
22,11.0,26,1000.0,0,3.38,72.0,27.0,11.0,11.0,8.0,15.0,"Women Vest,Vest,Fashion,buttontop,camisole,Summer,Spaghetti Strap,tank top,Women's Fashion,Plus Size,Design,V-neck,sleeveless,sexy,Spaghetti,summer tops,Cotton,Tank,Tops,Casual,Cotton Vest,Women,sleevelesstshirt,Casual Tops,Holiday,Beach,button",armygreen,2.0,Livraison standard,2.0,51,50,0.0,CN,huaxianglarou,4516.0,4.23184233835252,90,4516
23,7.0,6,5000.0,1,3.67,510.0,213.0,98.0,85.0,45.0,69.0,"blouse,Summer,Shorts,Sleeve,fashiontee,Tops,slim,short sleeves,Pullovers,Women's Fashion,Plus Size,Summer Fashion,Cotton,Fashion,Casual,T Shirts,Women",armygreen,50.0,Livraison standard,2.0,138,50,1.0,CN,Pure Fashion,96838.0,4.2646585018278,0,96838
24,5.71,5,1000.0,0,3.75,678.0,290.0,145.0,104.0,61.0,78.0,"Summer,Vest,Fashion,Tank,Shirt,backless top,summer shirt,topsamptshirt,tank top,Ladies,Sleeveless Shirt,backless,V-neck,solid color,sexy,summervest,Tops,Women Fashion,Ladies Fashion",black,19.0,Livraison standard,2.0,43,50,0.0,CN,sjhdstoer,80093.0,4.0066922202939095,85,80093
25,9.0,32,1000.0,0,4.15,567.0,323.0,116.0,58.0,28.0,42.0,"Summer,Vest,Fashion,Tank,Slim T-shirt,camouflage,Tops,camouflagevest,tank top,Cool T-Shirts,Women's Fashion,sleeveless tops,Women,Casual T-Shirt,Casual Tops,Military,Casual,sleeveless,t",armygreen,50.0,Livraison standard,3.0,41,50,0.0,CN,terbuer,9395.0,4.11005854177754,87,9395
26,9.0,9,1000.0,0,4.03,216.0,105.0,48.0,39.0,12.0,12.0,"Summer,midsleevebeachblouse,summerswimsuit,womensummerswimwear,crochet,Cover,womenbeachblouse,Swimsuit,Bikini,beachblouse,Swimwear,bikinibeachcoverup,Women,women fashion dress,women bathing suit,budsilkblouse,Suits,Women's Fashion,Lace",,5.0,Livraison standard,3.0,60,50,0.0,US,coaluss,4298.0,4.22940902745463,90,4298
27,5.65,5,20000.0,0,4.29,2996.0,1781.0,628.0,374.0,104.0,109.0,"Women Vest,Vest,Fashion,yoga top,low cut,Women's Fashion,off shoulder,sportwear,sleeveless,sexy,Casual,sexyvest,knitted,Tank,Shirt,Tops,Slim Fit,beach wear,soildcolor,Women,Print,Lace Up,Cotton,tank top",white,50.0,Livraison standard,2.0,43,50,1.0,CN,happyshoooping,40943.0,4.01748772683975,0,40943
28,1.74,2,100.0,1,4.25,12.0,7.0,3.0,1.0,0.0,1.0,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white",pink,50.0,Livraison standard,1.0,41,50,0.0,CN,Memo2,18138.0,3.83151394861616,81,18138
29,5.65,6,1000.0,0,4.06,301.0,156.0,70.0,34.0,18.0,23.0,"Summer,strapless,Plus Size,tunic,tunic top,Tops,Shorts,slim fit shirt,Women's Fashion,Fashion,topsamptee,women tank top,solid color,sleeveless,Pullovers,Casual,Cotton",white,50.0,Livraison standard,2.0,54,50,0.0,CN,meiximeiyo,7034.0,4.06027864657378,86,7034
30,14.0,76,100.0,0,4.06,31.0,17.0,4.0,6.0,3.0,1.0,"Summer,Plus Size,Love,plus size dress,Dress,short sleeves,Women's Fashion,Party Dress,Graffiti,uniquedres,Clothing,Bodycon Dress,casual dress,Shorts,Sleeve,summer dress,Cotton Dress,Women Clothing,print dress,Print,party,Short Sleeved,Women,Fashion",,50.0,Livraison standard,4.0,36,50,1.0,CN,HOT DRESS,51369.0,3.9682688002491804,84,51369
31,5.65,6,1000.0,1,4.37,217.0,137.0,42.0,24.0,9.0,5.0,"tank top women,Vest,Beading,Cotton Shirt,camisole,Women Vest,Sweets,Tops,Spaghetti Strap,Women's Fashion,Spaghetti,Cami,Summer,Bandages,Tank,Women,Cool Tees,Shirt",black,10.0,Livraison standard,2.0,38,50,0.0,CN,New Fashion Shopping Park,44837.0,4.065905390637201,87,44837
32,8.0,7,1000.0,0,3.81,443.0,215.0,76.0,65.0,29.0,58.0,"Summer,camisole,chiffon,Dress,slim,beach dress,Ladies,Women's Fashion,backless,printed,Floral,Robes,Beach,Casual,Women",khaki,4.0,Livraison standard,2.0,46,50,0.0,CN,Kallyett,3460.0,3.8708092485549104,81,3460
33,2.66,3,5000.0,0,3.44,1136.0,418.0,187.0,201.0,133.0,197.0,"Vest,Fashion,Yoga,SEXY CROP TOP,girl bra,Tops,strapless,topbra,Tee,Women's Fashion,straplesstanktop,T Shirts,Casual,Bras,Women",black,50.0,Livraison standard,1.0,22,50,0.0,CN,Faringoto,223392.0,4.30636280618823,92,223392
34,9.0,8,10000.0,0,3.8,1231.0,555.0,240.0,211.0,87.0,138.0,"Summer,Vest,Plus Size,Tank,Lace,Tops,Loose,beach wear,Women's Fashion,Pure Color,sleeveless,Fashion,Casual,Women Fashion,Women",yellow,50.0,Standart Gönderi,3.0,45,50,0.0,CN,Sangboo Store,10600.0,3.8675471698113197,0,10600
35,11.0,10,1000.0,0,4.16,274.0,162.0,47.0,34.0,10.0,21.0,"blouse,Summer,Plus Size,Floral print,ruffled,Sleeve,Tops,sexyblouse,short sleeves,Floral,Women's Fashion,Shorts,Print,sexy,Fashion",white,50.0,Livraison standard,3.0,31,50,0.0,CN,Lin Fashion Store,13946.0,4.00014341029686,0,13946
36,8.0,17,100.0,1,2.75,8.0,2.0,0.0,3.0,0.0,3.0,"butterflyprint,Vest,Plus Size,Necks,Tops,Spaghetti Strap,tank top,Casual,Round neck,Fashion,sleeveless tops,Casual Tops,summervest,womens vest",blue,50.0,Livraison standard,3.0,40,50,0.0,CN,Unnistore,47981.0,4.025364206665141,85,47981
37,14.0,12,5000.0,1,4.06,643.0,365.0,109.0,73.0,33.0,63.0,"Women Pants,womens jeans,Shorts,Ladies Fashion,Hot pants,pants,Short pants,Women's Fashion,skinnyshort,summerpant,Fashion,Summer,Denim Shorts,solid color,sexy,Jeans,Ladies,Women Fashion,Women",navyblue,2.0,Livraison standard,3.0,43,50,0.0,CN,sjhdstoer,80093.0,4.0066922202939095,85,80093
38,5.8,8,100.0,1,3.83,6.0,3.0,1.0,1.0,0.0,1.0,"Summer,Fashion,Shirt,Necks,Loose,Round neck,Womens T Shirts,T Shirts,Print,sleeveless,Sweatshirts,Cotton,graphicprint",armygreen,1.0,Livraison standard,1.0,43,50,0.0,CN,Cuetaes,16741.0,3.92085299563945,83,16741
39,13.0,13,1000.0,0,4.16,138.0,82.0,27.0,10.0,7.0,12.0,"Summer,Plus Size,Lace,Mini,Dress,slim,camouflage,Mini dress,Pocket,high waist,Women's Fashion,Fashion,Lace Up,t,print dress,Print,sleeveless,bodycon,Casual,Women Fashion,Waist",pink,50.0,Livraison standard,3.0,41,50,1.0,CN,Oucho co. ltd.,12913.0,3.9813366374971,85,12913
40,9.0,81,50000.0,0,4.26,5359.0,3111.0,1172.0,650.0,204.0,222.0,"blouse,Mini,Fashion,longtop,Shirt,kaftandresse,stripetee,Tops,short sleeves,Mini dress,T Shirts,Sexy Dress,Dress,Tops & Blouses,Beach,Women's Fashion,Casual,Women",black,50.0,Livraison standard,3.0,40,50,0.0,CN,Fashionshow68,59198.0,4.10505422480489,88,59198
41,7.0,68,10.0,0,1.5,2.0,0.0,0.0,0.0,1.0,1.0,"Mini,spaghettistrapdresse,Floral print,Summer,womensfahsion,Spaghetti,Dress,summer dress,Print,minidressforwomen,Mini dress,spaghettishoulderstrapdre,Women's Fashion,floralprinteddre,Sexy Dress,Floral,sexy,Fashion",white,50.0,Livraison standard,2.0,43,50,0.0,CN,wenj498,397.0,3.8589420654911804,0,397
42,12.0,14,100.0,1,3.79,24.0,11.0,6.0,2.0,1.0,4.0,"Summer,Shorts,pants,Fitness,Short pants,runningpant,Men's Fashion,Casual,Red,Cotton",black,50.0,Standardversand,3.0,22,50,0.0,CN,baijupingshop,196.0,4.02040816326531,0,196
43,3.69,40,100.0,0,3.53,59.0,22.0,11.0,12.0,4.0,10.0,"Summer,Shorts,Cotton,Cotton T Shirt,letter print,cute,teeshirthomme,short sleeves,Casual,Round neck,Women's Fashion,Fashion,printed,beetshirt,Women,Sleeve,T Shirts,Necks",grey,2.0,Livraison standard,1.0,24,50,1.0,CN,wuewi,10917.0,4.3648438215627,93,10917
44,5.0,5,10000.0,1,3.82,3208.0,1467.0,607.0,558.0,241.0,335.0,"Fashion,Tops & Blouses,Coat,Tops,tank top,Hollow,Jacket,Women's Fashion,kimono,crochet,Ladies,Women,Women Clothing",white,50.0,Livraison standard,1.0,63,50,1.0,CN,Brittany,27055.0,4.15139530585844,89,27055
45,5.84,56,100.0,0,3.28,36.0,11.0,4.0,11.0,4.0,6.0,"Summer,off shoulder top,Fashion,crop top,Spring,Vest,yoga top,Women's Fashion,tank top,sexy,Sport,summer tops,Women,fashion women,Fashion tank top,Tank,summer tank top,Tops,sexy tank top,Casual,Ladies,sleeveless,women top",armygreen,50.0,Livraison standard,1.0,43,50,0.0,CN,happyshoooping,40943.0,4.01748772683975,86,40943
46,16.0,14,10.0,0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,"Summer,Shorts,women's jogging suits,Sleeve,shortsleeveset,Short pants,summersuitset,short sleeves,Sport,summerpant,mensjoggingsuit,Suits,Sport Suits,short sleeve shirt,Outfits,men's suits,Casual",green,2.0,Livraison standard,4.0,34,50,0.0,CN,qiaopiaduxiu,31.0,3.54838709677419,81,31
47,13.0,50,1000.0,0,4.03,855.0,451.0,165.0,120.0,51.0,68.0,"bohemia,sleeveless,printeddre,Rose,long dress,Vintage,Dress,Women's Fashion,Beach,boho,Shorts,midcalfdre,vestido,jumpsuit,maxi dress,printed,Vintage dress,Fashion,Women",red & blue,50.0,Livraison standard,3.0,32,50,0.0,CN,Knights,9136.0,4.08570490367776,87,9136
48,9.0,8,10000.0,0,3.18,1783.0,535.0,289.0,344.0,189.0,426.0,"Summer,Plus Size,Floral print,Lace,Sleeve,Long Sleeve,Dress,Loose,V-neck,Floral,Women's Fashion,Fashion,Floral dress,summer dress,Print,Casual,Necks",white,50.0,Livraison standard,3.0,24,50,1.0,CN,fengjinying,10474.0,3.90853542104258,0,10474
49,7.0,6,100.0,0,3.8,61.0,28.0,11.0,12.0,2.0,8.0,"Summer,Plus Size,Love,Graphic T-Shirt,Funny,summer t-shirts,short sleeves,T Shirts,Funny T Shirt,Women's Fashion,Fashion,Women",black,50.0,Livraison standard,2.0,45,50,1.0,CN,enjoy the sunshine,139607.0,4.21638599783678,0,139607
50,11.0,20,100.0,0,3.43,14.0,5.0,3.0,2.0,1.0,3.0,"Summer,Vest,Plus Size,Tank,Necks,Tops,Loose,Women's Fashion,tank top,T Shirts,Fashion,V-neck,solid color,sleeveless,women top,Casual,Women",white,50.0,Livraison standard,2.0,34,50,1.0,CN,chentengying,3120.0,4.17467948717949,89,3120
51,5.84,11,1000.0,0,4.19,307.0,171.0,71.0,35.0,12.0,18.0,"Summer,sexy bathing suit,Bikinis Set,splitbikiniset,Swimwear,Swimsuit,Bikini,Fashion,Two Pieces,printed,Women's Fashion,Women,Beach,splits",blue,1.0,Livraison standard,1.0,40,50,0.0,CN,Get Trendy,10377.0,4.17278596896984,88,10377
52,1.0,11,1000.0,1,3.8,5.0,3.0,0.0,1.0,0.0,1.0,"Summer,Vest,Fashion,slim,gothicshirt,tank top,punkshirt,T Shirts,Plus Size,gothic,skullshirt,Goth,summer tops,Cotton,Tank,Shirt,skull,graphic tee,Tops,Slim Fit,Women's Fashion,Tops & T-Shirts,Print,sleeveless",blue,37.0,Livraison standard,1.0,41,50,0.0,CN,Flora boutique,8197.0,3.85811882395999,81,8197
53,11.0,60,1000.0,1,3.38,37.0,15.0,3.0,9.0,1.0,9.0,"Summer,Plus Size,Necks,long dress,Dress,summer dress,V-neck,Women's Fashion,printed,wavepoint,Women,Loose,Casual,casual dress",white,49.0,Livraison standard,2.0,25,50,1.0,CN,chengyongbo64,703.0,3.9601706970128,85,703
54,9.0,8,5000.0,1,4.03,889.0,464.0,178.0,126.0,52.0,69.0,"Summer,Spaghetti Strap,short dress,Mini,Shorts,Dress,summer dress,Party Dress,Floral dress,Mini dress,Women's Fashion,Sleeveless dress,backless,Plus Size,sleeveless,Floral,party,Spaghetti,Casual,casual dress",blue & pink,50.0,Envío normal,3.0,33,50,0.0,CN,WOW BANG,16013.0,4.10884906013864,0,16013
55,6.0,56,1000.0,1,3.5,938.0,349.0,171.0,173.0,88.0,157.0,"Mini,Summer,pleated dress,Lace,women dresses,Dress,V-neck,Mini dress,backless,Sexy Dress,sexy lace,sleeveless,sexy,Beach,Women",RED,1.0,Livraison standard,2.0,28,50,0.0,CN,Nalin International,13309.0,3.8766999774588595,0,13309
56,1.0,10,100.0,0,3.56,52.0,22.0,8.0,9.0,3.0,10.0,"Summer,Fashion,Necks,Beach,Dress,Loose,beach dress,Round neck,Women's Fashion,sleeveless,Skirts,Casual,Women",white,2.0,Livraison standard,1.0,40,50,1.0,,Maryswill,91631.0,3.83793694273772,81,91631
57,9.0,8,5000.0,0,4.06,743.0,400.0,142.0,103.0,45.0,53.0,"Summer,Plus Size,ruffle,ruffled,chiffon,Tank,Pure Color,Cami,tank top,Women's Fashion,Fashion,V-neck,blousesampshirt,sexy,Tops,Women",orange,50.0,Livraison standard,3.0,41,50,1.0,CN,Fashion Trend Line,20681.0,3.9993714037038797,85,20681
58,6.0,6,100.0,0,4.0,8.0,5.0,0.0,1.0,2.0,0.0,"Summer,Sling,Dresses,Dress,V-neck,Casual,Pocket,Women's Fashion,Sleeveless dress,women dress,Floral,sleeveless,Women,loose dress,Pleated,casual dress",white & green,5.0,Livraison standard,2.0,23,50,0.0,CN,zhuangyuping1,127.0,3.8740157480315,79,127
59,11.0,68,1000.0,0,4.13,211.0,120.0,37.0,31.0,8.0,15.0,"Summer,Plus Size,women39sfashion,Necks,Tunic dress,summer dress,Women's Fashion,Floral print,Casual,Crewneck,dressesforwomen,Graffiti,printeddre,sleeveless,Robes,Women,Dress,printed",red,50.0,Livraison standard,2.0,40,50,0.0,CN,LeadTheFashion,11597.0,4.21522807622661,90,11597
60,7.0,6,50.0,0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,"Summer,Fashion,Elastic,pants,slim,Short pants,Women's Fashion,Running,Shorts,Sport,Casual,Slim Fit",blue,50.0,Livraison standard,2.0,139,50,1.0,CN,caishuiwang,34.0,4.35294117647059,94,34
61,5.0,38,50.0,1,5.0,2.0,2.0,0.0,0.0,0.0,0.0,"Summer,Fashion,pants,widelegpant,Women's Fashion,trousers,solid color,Wool,Casual,Women",khaki,17.0,Livraison standard,1.0,33,50,0.0,CN,zufanqiudinli,9.0,3.6666666666666696,88,9
62,2.72,3,100.0,1,3.1,20.0,6.0,4.0,2.0,2.0,6.0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,1.0,Livraison standard,1.0,35,50,0.0,CN,youngpeopleshop,14482.0,4.00158817842839,85,14482
63,5.87,11,1000.0,1,3.91,209.0,100.0,41.0,34.0,17.0,17.0,"Summer,Fashion,night dress,Dress,Classics,short sleeves,Cotton Dress,Women's Fashion,european,Ladies,American,Large Size,Clothing,Pajamas,Cotton",white,6.0,Livraison standard,1.0,29,50,1.0,CN,happy feng,6187.0,4.39130434782609,0,6187
64,11.0,10,5000.0,0,3.72,1008.0,447.0,201.0,135.0,81.0,144.0,"Summer,Shorts,Rompers,Casual,Ladies,Women's Fashion,Fashion,off shoulder,sexy,Floral,sleeveless,Women,Beach,playsuit,jumpsuit",white,50.0,Livraison standard,2.0,25,50,0.0,CN,besagift,61895.0,4.26800226189515,0,61895
65,8.0,10,100.0,0,2.71,7.0,1.0,1.0,2.0,1.0,2.0,"Summer,V Collar,Plus Size,Stitching,Sleeve,Dresses,Dress,summer dress,long dress,short sleeves,Casual,ladies dress,Women's Fashion,Shorts,Women,Ladies,women dress,Short Sleeved,Cotton,Collar,casual dress",red,4.0,Livraison standard,3.0,20,50,0.0,CN,lianlie,224.0,3.89285714285714,84,224
66,14.0,67,1000.0,0,3.81,187.0,84.0,40.0,28.0,14.0,21.0,"Summer,Plus Size,Cotton,summershirtsformen,Chinese,loose shirt,cottonlinenshirt,Tops,buttonup,short sleeves,men shirt,Men's Fashion,Fashion,Men,solid color,Shirt,camisamen,Clothing,basictshirt,beachshirt",blue,50.0,Livraison standard,4.0,40,50,0.0,CN,saya2016,11900.0,4.15075630252101,88,11900
67,2.0,9,100.0,0,3.47,32.0,11.0,6.0,5.0,7.0,3.0,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,Beach,Casual,Women",white,1.0,Livraison standard,1.0,40,50,0.0,CN,zaitaowanggou,4856.0,4.167627677100491,88,4856
68,8.0,7,10000.0,1,3.93,1670.0,823.0,340.0,250.0,89.0,168.0,"Summer,soildcolor,Plus Size,Tank,camisole,Tops,Loose,tank top,Women's Fashion,Fashion,sleeveless tops,sleeveless,Women,Lace,Casual,summerampspring",yellow,50.0,Livraison standard,3.0,30,50,0.0,CN,keepahorse,66644.0,4.13758177780445,88,66644
69,5.79,30,1000.0,1,3.41,212.0,73.0,49.0,23.0,25.0,42.0,"blouse,Plus Size,Summer,Dress,short sleeves,V-neck,beach dress,Fashion,Casual,Deep V-Neck,Shorts,Tops & Blouses,Sleeve,summer dress,Women's Fashion,Swimsuit,Party Dress,Ladies,party,linen dress,Beach,loose dress,Swimming",white,50.0,Livraison standard,2.0,118,50,0.0,CN,taomi  gogo,21012.0,4.18984389872454,0,21012
70,8.0,22,100.0,1,3.74,47.0,24.0,5.0,6.0,6.0,6.0,"Deep V-Neck,Summer,Plus Size,Tank,Shirt,rodeotank,Tops,Sleeveless Shirt,tank top,Women's Fashion,women shirt,V-neck,sleeveless,Design,T Shirts,Women,countrymusicshirt,Casual,countrythunder,printed",winered,50.0,Livraison standard,3.0,41,50,0.0,CN,Aidos,50593.0,3.87676160733698,82,50593
71,4.94,5,10000.0,1,3.93,1331.0,659.0,255.0,199.0,101.0,117.0,"Summer,dress slim,Fashion,neck dress,Necks,Dress,slim,Round neck,Women's Fashion,Sleeveless dress,Flowers,Floral,sleeveless,printed,Casual,Women",black & green,6.0,Livraison standard,1.0,49,50,0.0,CN,Smart Home International Co.Ltd,55670.0,4.12148374348841,88,55670
72,8.0,7,10000.0,0,3.82,2520.0,1220.0,433.0,365.0,203.0,299.0,"Summer,Fashion,tunic,Ladies Fashion,asymmetric,Tops,tank top,Women's Fashion,Music,Ladies,Tank,Printed T Shirts,Women",orange,50.0,Livraison standard,3.0,14,50,1.0,CN,WDHDAGE,8821.0,3.87200997619318,82,8821
